team,player_name,conc_player_name,position,games_played,games_started,minutes_played,goals,accurate_pass_percentage,assists,assists_avg_over_90_mins,total_scoring_attempts,on_target_scoring_attempts,total_attacking_assists,tackles,fouls_committed,fouls_suffered,total_offside,yellow_cards,red_cards,goals_avg_over_90_mins,penalty_kick_goals,penalty_kick_taken,penalty_kick_percentage,accurate_shooting_percentage,successful_dribble,dribble_percentage,goals_and_assists,accurate_passes,total_passes,accurate_pass_percentage,crosses,accurate_long_balls,successful_short_passes,turnovers,tackles_percentage,interceptions,headed_duel,saves,penalty_kicks_conceded,long_ball_percentage,total_clearance
Utah Royals FC,Kathryn Del Fava,KATHRYNDEL FAVA,DEFENDER,22,21,1829,0,77,1,0.05,4,1,1,18,24,16,1,3,0,0,0,0,0,25,6,75,1,621,807,77,6,30,585,305,60,27,60,,,,
San Diego Wave FC,Giovanna Christina DeMarco,GIOVANNA CHRISTINADEMARCO,MIDFIELDER,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Racing Louisville FC,Savannah DeMelo,SAVANNAHDEMELO,MIDFIELDER,18,18,1588,5,74,2,0.11,37,14,2,20,32,67,1,5,1,0.28,2,3,67,38,23,38,7,361,489,74,3,20,338,318,59,8,7,,,,
Houston Dash,Madelyn Desiano,MADELYNDESIANO,DEFENDER,4,,20,0,56,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,100,0,10,18,56,0,1,9,16,100,0,2,,,,
Kansas City Current,Vanessa DiBernardo,VANESSADIBERNARDO,MIDFIELDER,11,11,961,0,75,2,0.19,13,7,2,11,15,15,1,1,0,0,0,0,0,54,9,64,2,388,516,75,2,20,366,169,50,19,15,,,,
Seattle Reign,Claudia Dickey,CLAUDIADICKEY,GOALKEEPER,9,9,810,0,80,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,219,273,80,0,54,165,55,0,0,5,25,0,50,4
Racing Louisville FC,Marisa DiGrande,MARISADIGRANDE,MIDFIELDER,20,14,1306,0,78,0,0,15,6,0,15,9,16,1,2,0,0,0,0,0,40,16,67,0,454,581,78,4,27,423,207,60,16,10,,,,
San Diego Wave FC,Makenzy Doniak,MAKENZYDONIAK,FORWARD,22,12,1205,3,68,2,0.15,25,15,2,10,10,16,3,1,0,0.22,0,0,0,60,9,69,5,212,311,68,6,4,202,175,56,8,38,,,,
Utah Royals FC,Imani Dorsey,IMANIDORSEY,DEFENDER,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Angel City FC,Megan Dougherty Howard,MEGANDOUGHERTY HOWARD,MIDFIELDER,12,8,581,0,70,0,0,5,1,0,9,9,11,3,0,0,0,0,0,0,20,4,57,0,145,207,70,1,4,140,97,64,5,21,,,,
Washington Spirit,Nicole Douglas,NICOLEDOUGLAS,FORWARD,10,1,154,0,72,0,0,3,1,0,4,7,3,0,0,0,0,0,0,0,33,5,50,0,41,57,72,0,1,40,36,57,0,5,,,,
Orlando Pride,Julie Doyle,JULIEDOYLE,MIDFIELDER,16,11,832,2,67,3,0.32,16,6,3,6,12,11,4,2,0,0.22,0,0,0,38,6,20,5,145,217,67,4,6,135,160,67,1,16,,,,
NJ/NY Gotham FC,Crystal Dunn,CRYSTALDUNN,MIDFIELDER,20,18,1427,5,81,2,0.13,27,20,2,27,14,23,7,0,0,0.32,0,0,0,74,26,62,7,479,591,81,7,25,447,238,71,19,24,,,,
Bay FC,Caprice Dydasco,CAPRICEDYDASCO,DEFENDER,22,22,1933,0,75,1,0.05,6,1,1,45,24,15,0,3,0,0,0,0,0,17,21,57,1,654,871,75,7,28,619,390,68,45,36,,,,
Angel City FC,Elizabeth Eddy,ELIZABETHEDDY,DEFENDER,3,,52,0,69,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,67,0,18,26,69,1,2,15,16,0,1,0,,,,
NJ/NY Gotham FC,Kristen Edmonds,KRISTENEDMONDS,DEFENDER,16,11,1043,0,81,1,0.09,4,1,1,12,4,17,0,1,0,0,0,0,0,25,3,38,1,450,558,81,2,21,427,147,67,12,13,,,,
Seattle Reign,Jadyn Edwards,JADYNEDWARDS,FORWARD,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Racing Louisville FC,Emina Ekić,EMINAEKIĆ,FORWARD,4,,4,0,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,50,0,0,3,7,0,0,0,,,,
Washington Spirit,Madison Elwell,MADISONELWELL,MIDFIELDER,4,1,133,0,42,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,2,67,0,10,24,42,1,0,9,33,67,1,4,,,,
Angel City FC,Claire Emslie,CLAIREEMSLIE,FORWARD,20,17,1347,3,75,5,0.33,23,10,5,18,13,13,5,0,0,0.2,1,2,50,43,24,50,8,263,351,75,20,5,238,311,58,3,15,,,,
Angel City FC,Jun Endo,JUNENDO,FORWARD,18,10,918,3,75,2,0.2,12,6,2,12,4,15,3,0,0,0.29,0,0,0,50,19,58,5,261,349,75,4,6,251,168,75,8,9,,,,
San Diego Wave FC,Sierra Enge,SIERRAENGE,DEFENDER,10,7,696,2,78,0,0,3,2,0,5,8,1,0,1,0,0.26,0,0,0,67,2,50,2,215,276,78,1,17,197,78,45,6,7,,,,
Racing Louisville FC,Abby Erceg,ABBYERCEG,DEFENDER,22,22,1980,2,89,0,0,13,7,0,11,4,5,0,1,0,0.09,0,0,0,54,2,100,2,958,1078,89,1,40,917,159,61,32,50,,,,
Angel City FC,Julie Beth Ertz,JULIE BETHERTZ,MIDFIELDER,7,7,574,1,68,0,0,5,2,0,4,15,4,0,1,0,0.16,0,0,0,40,3,60,1,176,259,68,2,11,163,105,36,9,43,,,,
NJ/NY Gotham FC,Sinead Farrelly,SINEADFARRELLY,MIDFIELDER,21,7,879,0,79,1,0.1,3,3,1,21,19,9,4,4,0,0,0,0,0,100,26,68,1,355,450,79,1,6,348,172,72,11,19,,,,
North Carolina Courage,Millie Laura Farrow,MILLIE LAURAFARROW,FORWARD,2,1,48,0,57,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,57,0,0,4,8,100,0,1,,,,
Kansas City Current,Bayley Feist,BAYLEYFEIST,MIDFIELDER,4,2,176,0,56,0,0,0,0,0,6,2,2,0,0,0,0,0,0,0,0,1,25,0,33,59,56,1,3,29,41,55,0,16,,,,
Chicago Red Stars,Samantha Feller,SAMANTHAFELLER,MIDFIELDER,1,,6,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,33,0,0,1,3,0,0,1,,,,
Racing Louisville FC,Kayla Fischer,KAYLAFISCHER,MIDFIELDER,10,5,460,0,63,1,0.2,10,3,1,9,19,13,0,1,0,0,0,0,0,30,13,72,1,83,132,63,1,3,79,95,64,5,13,,,,
Chicago Red Stars,Samantha Tru Fisher Conde,SAMANTHA TRUFISHER CONDE,MIDFIELDER,5,1,152,0,69,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,2,50,0,43,62,69,0,2,41,33,67,4,4,,,,
Seattle Reign,Jessica Fishlock,JESSICAFISHLOCK,MIDFIELDER,20,19,1565,4,74,1,0.06,32,13,1,12,7,15,3,2,0,0.23,0,0,0,41,16,59,5,420,569,74,1,21,398,221,67,9,30,,,,
Racing Louisville FC,Taylor Flint,TAYLORFLINT,MIDFIELDER,17,6,678,1,52,0,0,17,8,0,15,24,11,5,4,0,0.13,0,0,0,47,6,35,1,159,306,52,0,9,150,189,75,11,77,,,,
NJ/NY Gotham FC,Sabrina Inés Flores Grigoriu,SABRINA INÉSFLORES GRIGORIU,DEFENDER,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
North Carolina Courage,Emily Ann Fox,EMILY ANNFOX,DEFENDER,19,19,1603,0,86,2,0.11,6,2,2,14,14,20,2,0,1,0,0,0,0,33,17,53,2,948,1099,86,6,32,910,250,67,28,27,,,,
Kansas City Current,AD Franch,ADFRANCH,GOALKEEPER,12,12,1080,0,83,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,1,100,0,318,383,83,0,51,267,68,100,0,3,42,0,47,7
NJ/NY Gotham FC,Miranda Freeman,MIRANDAFREEMAN,DEFENDER,10,6,516,0,68,0,0,0,0,0,4,8,2,0,1,0,0,0,0,0,0,1,100,0,173,256,68,0,5,168,95,100,8,12,,,,
Houston Dash,Ryan Gareis,RYANGAREIS,FORWARD,12,2,357,0,65,0,0,5,1,0,2,1,2,4,0,0,0,0,0,0,20,3,50,0,56,86,65,3,1,52,70,50,1,3,,,,
Orlando Pride,Morgan Gautrat,MORGANGAUTRAT,MIDFIELDER,5,4,239,0,79,0,0,2,0,0,2,2,2,0,1,0,0,0,0,0,0,0,0,0,114,144,79,0,9,105,38,67,5,10,,,,
North Carolina Courage,Mille Gejl Jensen,MILLEGEJL JENSEN,FORWARD,15,6,502,2,72,1,0.18,9,6,1,8,7,6,1,2,0,0.36,0,0,0,67,6,50,3,152,212,72,0,4,148,101,53,6,10,,,,
San Diego Wave FC,Naomi Girma,NAOMIGIRMA,DEFENDER,20,20,1800,0,89,0,0,0,0,0,16,5,5,0,0,0,0,0,0,0,0,3,100,0,1023,1155,89,0,56,967,150,73,20,36,,,,
Racing Louisville FC,Parker Goins,PARKERGOINS,FORWARD,10,,131,1,70,0,0,4,2,0,1,2,0,2,0,0,0.69,0,0,0,50,2,50,1,33,47,70,0,1,32,27,100,0,9,,,,
NJ/NY Gotham FC,Esther González,ESTHERGONZÁLEZ,FORWARD,8,6,592,3,72,0,0,14,11,0,7,3,12,2,1,0,0.46,0,0,0,79,1,25,3,133,185,72,0,2,131,91,58,0,13,,,,
