Age,CurrentGender,BirthGender,MaritalStatus,RaceEthnicity,HouseholdIncome,Political,FoMOpreMean,FoMOHighorLow,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Imagination,ReligionFundamentalMean,condition,AwarenessComposite,JudgementComposite,PersonalRecallComposite,SocialRecallComposite,PersonalInferenceComposite,SocialInferenceComposite
66,2,2,3,6,1,3,1.6,0,2.75,3.5,4.0,1.75,2.75,3.58,1,5.12,-39.79,1.928571429,2.642857143,1.928571429,2.714285714
50,1,1,2,6,3,4,1.6,0,2.75,2.0,4.0,1.0,2.75,3.33,1,6.19,-88.71,1.285714286,1.5,1.714285714,1.5
43,2,2,3,2,3,4,1.6,0,1.75,3.0,4.75,4.0,3.25,5.0,1,4.62,-33.71,4.857142857,5.428571429,4.714285714,5.0
55,2,2,2,6,2,4,1.6,0,2.5,4.0,4.0,1.75,3.5,8.5,1,5.36,-27.79,2.214285714,5.071428571,2.571428571,4.857142857
67,2,2,3,6,3,2,1.6,0,2.75,4.5,5.0,2.25,3.5,2.0,1,5.79,-89.71,1.0,1.0,1.0,1.0
72,2,2,3,6,2,7,1.6,0,3.5,4.75,3.75,1.5,3.5,5.75,1,6.26,-77.64,1.428571429,2.142857143,1.357142857,1.5
77,2,2,3,6,1,5,1.6,0,2.0,4.25,4.25,2.0,2.5,4.08,1,6.02,-78.21,1.285714286,5.5,1.214285714,5.285714286
60,2,2,1,6,6,7,1.6,0,3.0,4.0,4.0,2.0,4.0,6.5,1,6.74,-89.5,1.428571429,2.071428571,1.642857143,1.857142857
54,2,2,2,1,1,3,1.6,0,2.75,4.0,4.0,2.0,3.5,8.83,1,4.14,-12.0,3.142857143,3.214285714,3.142857143,3.214285714
48,7,2,6,6,7,6,1.5,0,2.75,5.0,3.5,2.75,3.25,1.25,0,5.52,-55.36,1.642857143,3.142857143,1.142857143,3.214285714
65,1,1,1,6,4,4,1.5,0,2.0,4.5,3.75,5.0,3.5,5.08,0,4.88,-22.14,1.0,1.0,1.428571429,1.428571429
51,2,2,5,7,7,4,1.5,0,3.0,3.5,3.0,2.75,3.25,1.25,0,5.38,-52.29,1.5,4.142857143,1.571428571,4.142857143
33,2,2,1,6,6,5,1.5,0,2.75,4.5,3.25,2.5,3.5,5.75,0,5.93,-57.79,4.5,6.642857143,2.714285714,6.428571429
41,2,2,1,6,6,5,1.5,0,2.5,4.0,3.75,2.25,3.0,3.92,0,6.52,-68.86,1.142857143,3.785714286,1.714285714,3.714285714
